inputName,Total_Operators,Distinct_Operators,Total_Operands,Distinct_Operands,Program_Length,Vocabulary_Size,Program_Volume,Effort,Program_Level,Difficulty_Level,Time_To_Implement,Bugs_Delivered,Sloc,Decision_Point,Global_Variables,If,Loop,Goto,Assignment,Exit_Point,Function,Function_Call,Pointer_Dereferencing,Cyclomatic_Complexity,Syntactically_Reachable_Functions,Semantically_Reached_Functions,Coverage_Estimation,Main_Statements,==,!=,>,<,>=,<=,||,&&,++,--,=,-,*,/,%,+=,-=,*=,/=,%=,&,|,&=,^=,|=,<<,<<=,>>,>>=,+,^,~,+( ),-( ),!( ),~( ),For,While,Switch,Case,Break,Continue,Do,Char,short,int,double,float,long,signed,unsigned,[],array,struct,int8_t,uint8_t,int16_t,uint16_t,int32_t,uint32_t,int64_t,uint64_t,TARGET_TYPE,TARGET_INDEX,CFC,IOR,CR,DR_char_string,DR_int_real,DR_gpp,STR,LR,BMR,DR_bit,Agpp,Aasp
values_1,157 ,30 ,65 ,23 ,222 ,53 ,1271.60 ,53904.71 ,0.02 ,42.39 ,2994.71 ,0.48 ,19,2,6,2,2,0,9,2,2,1,0,4,2,2,100.0,2,0,0,0,1,1,0,0,0,1,1,5,7,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,8,0,0,12,14,14,10,3,0,0,1,0,0,0,0,0,0,2,0,0.3157894736842105,0,0.21052631578947367,0.09230769230769231,0.4153846153846154,0.5076923076923077,0.0,0.10526315789473684,0.0,0.4153846153846154,0.8098893181650143,0.6623541371261659
values_0,154 ,30 ,65 ,23 ,219 ,53 ,1254.41 ,53176.27 ,0.02 ,42.39 ,2954.24 ,0.47 ,19,2,6,2,2,0,9,2,2,1,0,4,2,2,100.0,2,0,0,0,1,1,0,0,0,1,1,5,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,8,0,0,12,14,14,10,3,0,0,1,0,0,0,0,0,0,2,0,0.3157894736842105,0,0.21052631578947367,0.09230769230769231,0.4153846153846154,0.5076923076923077,0.0,0.10526315789473684,0.0,0.4153846153846154,0.8098893181650143,0.6623541371261659
values_2,170 ,30 ,74 ,32 ,244 ,62 ,1452.82 ,50394.83 ,0.03 ,34.69 ,2799.71 ,0.45 ,19,2,6,2,2,0,9,2,2,1,0,4,2,2,100.0,2,0,0,0,1,1,0,0,0,1,1,5,11,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,8,0,0,12,14,14,10,3,0,0,1,0,0,0,0,0,0,2,0,0.3157894736842105,0,0.21052631578947367,0.08108108108108109,0.36486486486486486,0.44594594594594594,0.0,0.10526315789473684,0.0,0.36486486486486486,0.7751759385575988,0.6030018028859084
values_3,172 ,30 ,74 ,32 ,246 ,62 ,1464.73 ,50807.90 ,0.03 ,34.69 ,2822.66 ,0.46 ,19,2,6,2,2,0,9,2,2,1,0,4,2,2,100.0,2,0,0,0,1,1,0,0,0,1,1,5,13,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,8,0,0,12,14,14,10,3,0,0,1,0,0,0,0,0,0,2,0,0.3157894736842105,0,0.21052631578947367,0.08108108108108109,0.36486486486486486,0.44594594594594594,0.0,0.10526315789473684,0.0,0.36486486486486486,0.7751759385575988,0.6030018028859084
